Wrong country,فصل,%GT Total Import
ترکمنستان,فصل 60,0.00%
مناطق آزاد,فصل 73,0.00%
فدراسیون روسیه,فصل 58,0.00%
کانادا,فصل 33,0.00%
چین,فصل 92,0.00%
یونان,فصل 85,0.00%
سری لانکا,فصل 19,0.00%
ویتنام,فصل 44,0.00%
سایر کشورهای خارجی,فصل 90,0.00%
ترکیه,فصل 65,0.00%
آلمان,فصل 19,0.00%
ازبکستان,فصل 28,0.00%
بلژیک,فصل 70,0.00%
قطر,فصل 48,0.00%
پرتغال,فصل 39,0.00%
ترکیه,فصل 53,0.00%
رومانی,فصل 85,0.00%
فرانسه,فصل 59,0.00%
اتریش,فصل 44,0.00%
افغانستان,فصل 20,0.00%
کانادا,فصل 73,0.00%
عمان,فصل 30,0.00%
پاکستان,فصل 31,0.00%
پاکستان,فصل 84,0.00%
سری لانکا,فصل 14,0.00%
رومانی,فصل 34,0.00%
افغانستان,فصل 54,0.00%
ایتالیا,فصل 37,0.00%
پرتغال,فصل 82,0.00%
اندونزی,فصل 40,0.00%
کانادا,فصل 85,0.00%
سنگاپور,فصل 38,0.00%
سایر کشورهای خارجی,فصل 59,0.00%
چین,فصل 06,0.00%
مجارستان,فصل 98,0.00%
اندونزی,فصل 84,0.00%
گرجستان,فصل 09,0.00%
کره (جنوبی),فصل 68,0.00%
ازبکستان,فصل 48,0.00%
تانزانیا,فصل 72,0.00%
پاکستان,فصل 90,0.00%
فدراسیون روسیه,فصل 87,0.00%
مناطق ویژه,فصل 40,0.00%
لبنان,فصل 38,0.00%
بلژیک,فصل 85,0.00%
هند,فصل 70,0.00%
فدراسیون روسیه,فصل 83,0.00%
مناطق ویژه,فصل 33,0.00%
یونان,فصل 48,0.00%
عراق,فصل 96,0.00%
پاکستان,فصل 28,0.00%
پاکستان,فصل 53,0.00%
سویس,فصل 07,0.00%
فرانسه,فصل 83,0.00%
هند,فصل 86,0.00%
هنگ کنگ,فصل 59,0.00%
دانمارک,فصل 90,0.00%
فرانسه,فصل 55,0.00%
کره (جنوبی),فصل 56,0.00%
لیتوانی,فصل 84,0.00%
دانمارک,فصل 85,0.00%
فدراسیون روسیه,فصل 90,0.00%
ارمنستان,فصل 27,0.00%
کره (جنوبی),فصل 83,0.00%
فدراسیون روسیه,فصل 12,0.00%
بلغارستان,فصل 90,0.00%
بلغارستان,فصل 86,0.00%
انگلستان (بریتانیا),فصل 21,0.00%
تایوان,فصل 83,0.00%
مناطق آزاد,فصل 85,0.00%
برزیل,فصل 82,0.00%
هنگ کنگ,فصل 31,0.00%
عراق,فصل 82,0.00%
ارمنستان,فصل 39,0.00%
ارمنستان,فصل 38,0.00%
مالزی,فصل 76,0.00%
سنگاپور,فصل 39,0.00%
ایالات متحده,فصل 39,0.00%
فدراسیون روسیه,فصل 69,0.00%
عراق,فصل 70,0.00%
هند,فصل 68,0.00%
تایلند,فصل 82,0.00%
قزاقستان,فصل 07,0.00%
مناطق آزاد,فصل 54,0.00%
گرجستان,فصل 26,0.00%
سویس,فصل 40,0.00%
انگلستان (بریتانیا),فصل 98,0.00%
هند,فصل 79,0.00%
عمان,فصل 82,0.00%
آلمان,فصل 13,0.00%
اسلواکی,فصل 56,0.00%
هنگ کنگ,فصل 95,0.00%
افغانستان,فصل 35,0.00%
یونان,فصل 96,0.00%
تایوان,فصل 68,0.00%
اسلواکی,فصل 34,0.00%
آلمان,فصل 25,0.00%
هنگ کنگ,فصل 56,0.00%
مجارستان,فصل 90,0.00%
چین,فصل 20,0.00%
پرتغال,فصل 85,0.00%
پاکستان,فصل 07,0.00%
هلند,فصل 86,0.00%
اسپانیا,فصل 34,0.00%
اندونزی,فصل 87,0.00%
استونی,فصل 29,0.00%
نیوزیلند (Aotearoa),فصل 75,0.00%
فدراسیون روسیه,فصل 35,0.00%
مالزی,فصل 87,0.00%
اتریش,فصل 11,0.00%
هنگ کنگ,فصل 40,0.00%
عراق,فصل 94,0.00%
ونزوئلا,فصل 86,0.00%
دانمارک,فصل 35,0.00%
تایلند,فصل 73,0.00%
نروژ,فصل 85,0.00%
لهستان,فصل 32,0.00%
کانادا,فصل 28,0.00%
انگلستان (بریتانیا),فصل 34,0.00%
چین,فصل 52,0.00%
اسلواکی,فصل 37,0.00%
مناطق آزاد,فصل 23,0.00%
تایلند,فصل 03,0.00%
اسلوونی,فصل 85,0.00%
ازبکستان,فصل 56,0.00%
هنگ کنگ,فصل 34,0.00%
فدراسیون روسیه,فصل 25,0.00%
قرقیزستان,فصل 10,0.00%
هند,فصل 45,0.00%
کره (جنوبی),فصل 34,0.00%
بلژیک,فصل 13,0.00%
سنگاپور,فصل 37,0.00%
ترکیه,فصل 49,0.00%
عمان,فصل 40,0.00%
هند,فصل 59,0.00%
مالزی,فصل 85,0.00%
هند,فصل 73,0.00%
لهستان,فصل 33,0.00%
جمهوری چک,فصل 86,0.00%
بلغارستان,فصل 44,0.00%
لیتوانی,فصل 85,0.00%
بلغارستان,فصل 38,0.00%
پرتغال,فصل 40,0.00%
مناطق ویژه,فصل 27,0.00%
اسپانیا,فصل 13,0.00%
امارات متحده عربی,فصل 49,0.00%
اندونزی,فصل 34,0.00%
افغانستان,فصل 85,0.00%
فدراسیون روسیه,فصل 82,0.00%
لهستان,فصل 75,0.00%
ایتالیا,فصل 96,0.00%
جمهوری چک,فصل 84,0.00%
عراق,فصل 67,0.00%
هنگ کنگ,فصل 96,0.00%
سنگاپور,فصل 32,0.00%
فرانسه,فصل 23,0.00%
هنگ کنگ,فصل 82,0.00%
هلند,فصل 34,0.00%
سنگاپور,فصل 84,0.00%
تایوان,فصل 96,0.00%
سنگاپور,فصل 23,0.00%
قطر,فصل 68,0.00%
سنگاپور,فصل 90,0.00%
انگلستان (بریتانیا),فصل 49,0.00%
سوئد,فصل 29,0.00%
تایلند,فصل 06,0.00%
ترکیه,فصل 78,0.00%
ترکیه,فصل 14,0.00%
ترکیه,فصل 45,0.00%
ایتالیا,فصل 83,0.00%
سوئد,فصل 39,0.00%
سوئد,فصل 40,0.00%
فدراسیون روسیه,فصل 94,0.00%
چین,فصل 45,0.00%
کانادا,فصل 48,0.00%
هنگ کنگ,فصل 70,0.00%
ایتالیا,فصل 94,0.00%
بلژیک,فصل 27,0.00%
اسپانیا,فصل 82,0.00%
اندونزی,فصل 82,0.00%
ژاپن,فصل 94,0.00%
دانمارک,فصل 27,0.00%
ژاپن,فصل 85,0.00%
فرانسه,فصل 25,0.00%
آرژانتین,فصل 12,0.00%
نیوزیلند (Aotearoa),فصل 84,0.00%
قزاقستان,فصل 85,0.00%
مالزی,فصل 83,0.00%
قطر,فصل 90,0.00%
اتریش,فصل 68,0.00%
ایتالیا,فصل 95,0.00%
اندونزی,فصل 83,0.00%
ایتالیا,فصل 49,0.00%
مناطق آزاد,فصل 83,0.00%
عمان,فصل 94,0.00%
عراق,فصل 59,0.00%
ارمنستان,فصل 84,0.00%
تایوان,فصل 76,0.00%
مناطق آزاد,فصل 72,0.00%
انگلستان (بریتانیا),فصل 76,0.00%
تایلند,فصل 74,0.00%
اتریش,فصل 21,0.00%
تایوان,فصل 74,0.00%
سویس,فصل 95,0.00%
تایلند,فصل 85,0.00%
اندونزی,فصل 85,0.00%
اندونزی,فصل 73,0.00%
اتریش,فصل 04,0.00%
اتریش,فصل 10,0.00%
اتریش,فصل 15,0.00%
اتریش,فصل 20,0.00%
اتریش,فصل 23,0.00%
اتریش,فصل 28,0.00%
اتریش,فصل 34,0.00%
اتریش,فصل 40,0.00%
اتریش,فصل 70,0.00%
اتریش,فصل 83,0.00%
اتریش,فصل 94,0.00%
اتیوپی,فصل 09,0.00%
اتیوپی,فصل 12,0.00%
اردن,فصل 28,0.00%
اردن,فصل 38,0.00%
آرژانتین,فصل 24,0.00%
آرژانتین,فصل 28,0.00%
آرژانتین,فصل 38,0.00%
آرژانتین,فصل 40,0.00%
آرژانتین,فصل 84,0.00%
آرژانتین,فصل 85,0.00%
آرژانتین,فصل 87,0.00%
آرژانتین,فصل 90,0.00%
ارمنستان,فصل 32,0.00%
ارمنستان,فصل 48,0.00%
ارمنستان,فصل 56,0.00%
ارمنستان,فصل 59,0.00%
ارمنستان,فصل 70,0.00%
ارمنستان,فصل 73,0.00%
ارمنستان,فصل 85,0.00%
ارمنستان,فصل 86,0.00%
ارمنستان,فصل 87,0.00%
ازبکستان,فصل 32,0.00%
ازبکستان,فصل 72,0.00%
ازبکستان,فصل 84,0.00%
اسپانیا,فصل 10,0.00%
اسپانیا,فصل 15,0.00%
اسپانیا,فصل 17,0.00%
اسپانیا,فصل 21,0.00%
اسپانیا,فصل 25,0.00%
اسپانیا,فصل 26,0.00%
اسپانیا,فصل 59,0.00%
اسپانیا,فصل 69,0.00%
اسپانیا,فصل 70,0.00%
اسپانیا,فصل 73,0.00%
اسپانیا,فصل 83,0.00%
اسپانیا,فصل 87,0.00%
اسپانیا,فصل 94,0.00%
استرالیا,فصل 27,0.00%
استرالیا,فصل 35,0.00%
استرالیا,فصل 90,0.00%
استونی,فصل 27,0.00%
اسلواکی,فصل 40,0.00%
اسلواکی,فصل 68,0.00%
اسلواکی,فصل 83,0.00%
اسلواکی,فصل 90,0.00%
اسلواکی,فصل 98,0.00%
اسلوونی,فصل 21,0.00%
اسلوونی,فصل 27,0.00%
اسلوونی,فصل 30,0.00%
اسلوونی,فصل 32,0.00%
اسلوونی,فصل 39,0.00%
اسلوونی,فصل 40,0.00%
اسلوونی,فصل 48,0.00%
اسلوونی,فصل 72,0.00%
اسلوونی,فصل 73,0.00%
آفریقای جنوبی,فصل 13,0.00%
آفریقای جنوبی,فصل 84,0.00%
افغانستان,فصل 01,0.00%
افغانستان,فصل 15,0.00%
افغانستان,فصل 39,0.00%
افغانستان,فصل 50,0.00%
اکوادور,فصل 08,0.00%
آلمان,فصل 04,0.00%
آلمان,فصل 08,0.00%
آلمان,فصل 11,0.00%
آلمان,فصل 14,0.00%
آلمان,فصل 15,0.00%
آلمان,فصل 17,0.00%
آلمان,فصل 47,0.00%
آلمان,فصل 75,0.00%
آلمان,فصل 80,0.00%
آلمان,فصل 86,0.00%
آلمان,فصل 91,0.00%
آلمان,فصل 96,0.00%
امارات متحده عربی,فصل 42,0.00%
امارات متحده عربی,فصل 51,0.00%
امارات متحده عربی,فصل 62,0.00%
امارات متحده عربی,فصل 64,0.00%
امارات متحده عربی,فصل 78,0.00%
اندونزی,فصل 03,0.00%
اندونزی,فصل 21,0.00%
اندونزی,فصل 25,0.00%
اندونزی,فصل 27,0.00%
اندونزی,فصل 31,0.00%
اندونزی,فصل 35,0.00%
اندونزی,فصل 47,0.00%
اندونزی,فصل 55,0.00%
انگلستان (بریتانیا),فصل 01,0.00%
انگلستان (بریتانیا),فصل 12,0.00%
انگلستان (بریتانیا),فصل 13,0.00%
انگلستان (بریتانیا),فصل 17,0.00%
انگلستان (بریتانیا),فصل 23,0.00%
انگلستان (بریتانیا),فصل 27,0.00%
انگلستان (بریتانیا),فصل 31,0.00%
انگلستان (بریتانیا),فصل 33,0.00%
انگلستان (بریتانیا),فصل 35,0.00%
انگلستان (بریتانیا),فصل 47,0.00%
انگلستان (بریتانیا),فصل 68,0.00%
انگلستان (بریتانیا),فصل 69,0.00%
انگلستان (بریتانیا),فصل 82,0.00%
اوکراین,فصل 10,0.00%
اوکراین,فصل 30,0.00%
اوگاندا,فصل 24,0.00%
ایالات متحده,فصل 13,0.00%
ایالات متحده,فصل 28,0.00%
ایتالیا,فصل 03,0.00%
ایتالیا,فصل 04,0.00%
ایتالیا,فصل 05,0.00%
ایتالیا,فصل 12,0.00%
ایتالیا,فصل 13,0.00%
ایتالیا,فصل 20,0.00%
ایتالیا,فصل 23,0.00%
ایتالیا,فصل 25,0.00%
ایتالیا,فصل 47,0.00%
ایتالیا,فصل 51,0.00%
ایتالیا,فصل 52,0.00%
ایتالیا,فصل 58,0.00%
ایتالیا,فصل 70,0.00%
ایتالیا,فصل 74,0.00%
ایرلند,فصل 15,0.00%
ایرلند,فصل 23,0.00%
ایرلند,فصل 27,0.00%
ایرلند,فصل 31,0.00%
ایرلند,فصل 32,0.00%
ایرلند,فصل 40,0.00%
ایرلند,فصل 48,0.00%
ایرلند,فصل 68,0.00%
ایرلند,فصل 84,0.00%
ایسلند,فصل 23,0.00%
برزیل,فصل 09,0.00%
برزیل,فصل 12,0.00%
برزیل,فصل 26,0.00%
برزیل,فصل 30,0.00%
برزیل,فصل 40,0.00%
برزیل,فصل 90,0.00%
بلاروس,فصل 38,0.00%
بلاروس,فصل 70,0.00%
بلاروس,فصل 84,0.00%
بلاروس,فصل 85,0.00%
بلاروس,فصل 87,0.00%
بلژیک,فصل 10,0.00%
بلژیک,فصل 12,0.00%
بلژیک,فصل 18,0.00%
بلژیک,فصل 29,0.00%
بلژیک,فصل 32,0.00%
بلژیک,فصل 40,0.00%
بلژیک,فصل 58,0.00%
بلژیک,فصل 60,0.00%
بلژیک,فصل 69,0.00%
بلژیک,فصل 73,0.00%
بلژیک,فصل 74,0.00%
بلژیک,فصل 81,0.00%
بلژیک,فصل 82,0.00%
بلژیک,فصل 87,0.00%
بلغارستان,فصل 27,0.00%
بلغارستان,فصل 29,0.00%
بلغارستان,فصل 32,0.00%
بلغارستان,فصل 34,0.00%
بلغارستان,فصل 48,0.00%
بلغارستان,فصل 69,0.00%
بلغارستان,فصل 73,0.00%
بلغارستان,فصل 98,0.00%
پاکستان,فصل 25,0.00%
پاکستان,فصل 35,0.00%
پرتغال,فصل 27,0.00%
پرتغال,فصل 32,0.00%
پرتغال,فصل 54,0.00%
پرتغال,فصل 70,0.00%
پرتغال,فصل 73,0.00%
پرو,فصل 30,0.00%
پرو,فصل 32,0.00%
تاجیکستان,فصل 15,0.00%
تاجیکستان,فصل 50,0.00%
تاجیکستان,فصل 76,0.00%
تاجیکستان,فصل 84,0.00%
تانزانیا,فصل 26,0.00%
تانزانیا,فصل 84,0.00%
تایلند,فصل 09,0.00%
تایلند,فصل 10,0.00%
تایلند,فصل 11,0.00%
تایلند,فصل 15,0.00%
تایلند,فصل 39,0.00%
تایلند,فصل 55,0.00%
تایلند,فصل 56,0.00%
تایلند,فصل 70,0.00%
تایلند,فصل 72,0.00%
تایلند,فصل 87,0.00%
تایوان,فصل 28,0.00%
تایوان,فصل 34,0.00%
تایوان,فصل 70,0.00%
تایوان,فصل 87,0.00%
ترکمنستان,فصل 10,0.00%
ترکمنستان,فصل 27,0.00%
ترکمنستان,فصل 31,0.00%
ترکیه,فصل 04,0.00%
ترکیه,فصل 09,0.00%
ترکیه,فصل 11,0.00%
ترکیه,فصل 51,0.00%
ترکیه,فصل 79,0.00%
جمهوری آذربایجان,فصل 41,0.00%
جمهوری آذربایجان,فصل 44,0.00%
جمهوری آذربایجان,فصل 57,0.00%
جمهوری چک,فصل 29,0.00%
جمهوری چک,فصل 38,0.00%
جمهوری چک,فصل 40,0.00%
جمهوری چک,فصل 48,0.00%
جمهوری چک,فصل 68,0.00%
جمهوری چک,فصل 70,0.00%
جمهوری چک,فصل 73,0.00%
جمهوری چک,فصل 87,0.00%
جمهوری چک,فصل 90,0.00%
جمهوری چک,فصل 94,0.00%
چین,فصل 03,0.00%
چین,فصل 05,0.00%
چین,فصل 10,0.00%
چین,فصل 11,0.00%
چین,فصل 42,0.00%
چین,فصل 50,0.00%
چین,فصل 65,0.00%
چین,فصل 71,0.00%
چین,فصل 78,0.00%
دانمارک,فصل 12,0.00%
دانمارک,فصل 15,0.00%
دانمارک,فصل 19,0.00%
دانمارک,فصل 28,0.00%
دانمارک,فصل 29,0.00%
دانمارک,فصل 34,0.00%
دانمارک,فصل 39,0.00%
دانمارک,فصل 48,0.00%
دانمارک,فصل 49,0.00%
دانمارک,فصل 84,0.00%
رومانی,فصل 44,0.00%
رومانی,فصل 73,0.00%
رومانی,فصل 84,0.00%
رومانی,فصل 90,0.00%
زیمبابوه,فصل 24,0.00%
زیمبابوه,فصل 39,0.00%
زیمبابوه,فصل 84,0.00%
ژاپن,فصل 29,0.00%
ژاپن,فصل 30,0.00%
ژاپن,فصل 37,0.00%
ژاپن,فصل 73,0.00%
ژاپن,فصل 87,0.00%
ژاپن,فصل 96,0.00%
سری لانکا,فصل 08,0.00%
سری لانکا,فصل 72,0.00%
سنگاپور,فصل 47,0.00%
سنگاپور,فصل 48,0.00%
سنگاپور,فصل 72,0.00%
سنگاپور,فصل 74,0.00%
سنگال,فصل 32,0.00%
سوئد,فصل 10,0.00%
سوئد,فصل 15,0.00%
سوئد,فصل 23,0.00%
سوئد,فصل 30,0.00%
سوئد,فصل 38,0.00%
سوئد,فصل 48,0.00%
سویس,فصل 15,0.00%
سویس,فصل 18,0.00%
سویس,فصل 21,0.00%
سویس,فصل 23,0.00%
سویس,فصل 28,0.00%
سویس,فصل 32,0.00%
سویس,فصل 37,0.00%
سویس,فصل 70,0.00%
سویس,فصل 71,0.00%
سویس,فصل 72,0.00%
سویس,فصل 73,0.00%
سویس,فصل 74,0.00%
سویس,فصل 91,0.00%
سویس,فصل 94,0.00%
سویس,فصل 96,0.00%
سیشل,فصل 38,0.00%
سیشل,فصل 85,0.00%
صربستان و مونته نگرو,فصل 10,0.00%
صربستان و مونته نگرو,فصل 21,0.00%
صربستان و مونته نگرو,فصل 35,0.00%
صربستان و مونته نگرو,فصل 52,0.00%
صربستان و مونته نگرو,فصل 73,0.00%
صربستان و مونته نگرو,فصل 86,0.00%
صربستان و مونته نگرو,فصل 90,0.00%
عراق,فصل 01,0.00%
عراق,فصل 26,0.00%
عراق,فصل 29,0.00%
عراق,فصل 33,0.00%
عراق,فصل 34,0.00%
عراق,فصل 38,0.00%
عراق,فصل 49,0.00%
عراق,فصل 52,0.00%
عراق,فصل 60,0.00%
عراق,فصل 68,0.00%
عراق,فصل 72,0.00%
عراق,فصل 92,0.00%
عراق,فصل 95,0.00%
عربستان سعودی,فصل 87,0.00%
عمان,فصل 07,0.00%
عمان,فصل 18,0.00%
عمان,فصل 21,0.00%
عمان,فصل 23,0.00%
عمان,فصل 27,0.00%
عمان,فصل 32,0.00%
عمان,فصل 35,0.00%
عمان,فصل 37,0.00%
عمان,فصل 54,0.00%
عمان,فصل 69,0.00%
عمان,فصل 71,0.00%
عمان,فصل 74,0.00%
عمان,فصل 75,0.00%
عمان,فصل 83,0.00%
عمان,فصل 86,0.00%
عمان,فصل 95,0.00%
فدراسیون روسیه,فصل 23,0.00%
فدراسیون روسیه,فصل 34,0.00%
فدراسیون روسیه,فصل 47,0.00%
فدراسیون روسیه,فصل 50,0.00%
فدراسیون روسیه,فصل 54,0.00%
فدراسیون روسیه,فصل 56,0.00%
فدراسیون روسیه,فصل 59,0.00%
فدراسیون روسیه,فصل 71,0.00%
فدراسیون روسیه,فصل 74,0.00%
فدراسیون روسیه,فصل 75,0.00%
فدراسیون روسیه,فصل 96,0.00%
فرانسه,فصل 01,0.00%
فرانسه,فصل 03,0.00%
فرانسه,فصل 07,0.00%
فرانسه,فصل 12,0.00%
فرانسه,فصل 15,0.00%
فرانسه,فصل 17,0.00%
فرانسه,فصل 27,0.00%
فرانسه,فصل 31,0.00%
فرانسه,فصل 32,0.00%
فرانسه,فصل 40,0.00%
فرانسه,فصل 48,0.00%
فرانسه,فصل 56,0.00%
فرانسه,فصل 70,0.00%
فرانسه,فصل 73,0.00%
فرانسه,فصل 82,0.00%
فرانسه,فصل 86,0.00%
فرانسه,فصل 96,0.00%
فنلاند,فصل 38,0.00%
فنلاند,فصل 39,0.00%
فنلاند,فصل 90,0.00%
فنلاند,فصل 95,0.00%
فیلیپین,فصل 15,0.00%
فیلیپین,فصل 91,0.00%
قبرس,فصل 29,0.00%
قبرس,فصل 32,0.00%
قبرس,فصل 39,0.00%
قبرس,فصل 84,0.00%
قبرس,فصل 85,0.00%
قبرس,فصل 90,0.00%
قرقیزستان,فصل 07,0.00%
قرقیزستان,فصل 52,0.00%
قزاقستان,فصل 02,0.00%
قزاقستان,فصل 12,0.00%
قزاقستان,فصل 26,0.00%
قزاقستان,فصل 28,0.00%
قزاقستان,فصل 38,0.00%
قطر,فصل 23,0.00%
قطر,فصل 29,0.00%
قطر,فصل 56,0.00%
قطر,فصل 73,0.00%
قطر,فصل 82,0.00%
قطر,فصل 87,0.00%
کامبوج,فصل 18,0.00%
کانادا,فصل 21,0.00%
کانادا,فصل 23,0.00%
کانادا,فصل 30,0.00%
کانادا,فصل 35,0.00%
کانادا,فصل 44,0.00%
کانادا,فصل 72,0.00%
کانادا,فصل 76,0.00%
کانادا,فصل 86,0.00%
کانادا,فصل 94,0.00%
کره (جنوبی),فصل 21,0.00%
کره (جنوبی),فصل 35,0.00%
کره (جنوبی),فصل 59,0.00%
کره (جنوبی),فصل 76,0.00%
کره (جنوبی),فصل 86,0.00%
کره (جنوبی),فصل 95,0.00%
کره (جنوبی),فصل 96,0.00%
کرواسی (Hrvatska),فصل 32,0.00%
کرواسی (Hrvatska),فصل 39,0.00%
کلمبیا,فصل 02,0.00%
کلمبیا,فصل 09,0.00%
کنیا,فصل 03,0.00%
کنیا,فصل 73,0.00%
کویت,فصل 13,0.00%
کویت,فصل 35,0.00%
کویت,فصل 71,0.00%
کویت,فصل 87,0.00%
گرجستان,فصل 08,0.00%
گرجستان,فصل 21,0.00%
گرجستان,فصل 27,0.00%
گرجستان,فصل 34,0.00%
گرجستان,فصل 40,0.00%
گرجستان,فصل 72,0.00%
لبنان,فصل 12,0.00%
لبنان,فصل 49,0.00%
لبنان,فصل 84,0.00%
لبنان,فصل 85,0.00%
لبنان,فصل 90,0.00%
لتونی,فصل 27,0.00%
لهستان,فصل 03,0.00%
لهستان,فصل 29,0.00%
لهستان,فصل 31,0.00%
لهستان,فصل 34,0.00%
لهستان,فصل 35,0.00%
لهستان,فصل 37,0.00%
لهستان,فصل 39,0.00%
لهستان,فصل 40,0.00%
لهستان,فصل 70,0.00%
لهستان,فصل 73,0.00%
لهستان,فصل 82,0.00%
لوکزامبورگ,فصل 23,0.00%
لوکزامبورگ,فصل 28,0.00%
لوکزامبورگ,فصل 35,0.00%
لیتوانی,فصل 32,0.00%
لیتوانی,فصل 87,0.00%
لیتوانی,فصل 90,0.00%
لیختن اشتاین,فصل 34,0.00%
لیختن اشتاین,فصل 73,0.00%
مالزی,فصل 03,0.00%
مالزی,فصل 25,0.00%
مالزی,فصل 27,0.00%
مالزی,فصل 32,0.00%
مالزی,فصل 34,0.00%
مالزی,فصل 69,0.00%
مالزی,فصل 70,0.00%
مالزی,فصل 80,0.00%
مالزی,فصل 98,0.00%
مجارستان,فصل 28,0.00%
مجارستان,فصل 29,0.00%
مجارستان,فصل 33,0.00%
مجارستان,فصل 39,0.00%
مصر,فصل 26,0.00%
مکزیک,فصل 28,0.00%
مکزیک,فصل 31,0.00%
مناطق آزاد,فصل 09,0.00%
مناطق آزاد,فصل 22,0.00%
مناطق آزاد,فصل 28,0.00%
مناطق آزاد,فصل 29,0.00%
مناطق آزاد,فصل 38,0.00%
مناطق آزاد,فصل 40,0.00%
مناطق آزاد,فصل 48,0.00%
مناطق آزاد,فصل 59,0.00%
مناطق آزاد,فصل 60,0.00%
مناطق آزاد,فصل 62,0.00%
مناطق آزاد,فصل 63,0.00%
مناطق آزاد,فصل 79,0.00%
مناطق آزاد,فصل 82,0.00%
مناطق آزاد,فصل 94,0.00%
مناطق آزاد,فصل 96,0.00%
مناطق ویژه,فصل 08,0.00%
مناطق ویژه,فصل 22,0.00%
مناطق ویژه,فصل 24,0.00%
مناطق ویژه,فصل 25,0.00%
مناطق ویژه,فصل 28,0.00%
مناطق ویژه,فصل 39,0.00%
مناطق ویژه,فصل 70,0.00%
مناطق ویژه,فصل 79,0.00%
مناطق ویژه,فصل 84,0.00%
مناطق ویژه,فصل 87,0.00%
مناطق ویژه,فصل 90,0.00%
مناطق ویژه,فصل 96,0.00%
مواناکو,فصل 15,0.00%
مواناکو,فصل 28,0.00%
مواناکو,فصل 29,0.00%
موریس,فصل 09,0.00%
موریس,فصل 90,0.00%
نروژ,فصل 31,0.00%
نروژ,فصل 38,0.00%
نروژ,فصل 39,0.00%
نروژ,فصل 83,0.00%
نروژ,فصل 90,0.00%
نیوزیلند (Aotearoa),فصل 51,0.00%
هلند,فصل 09,0.00%
هلند,فصل 18,0.00%
هلند,فصل 21,0.00%
هلند,فصل 23,0.00%
هلند,فصل 32,0.00%
هلند,فصل 40,0.00%
هلند,فصل 48,0.00%
هلند,فصل 49,0.00%
هلند,فصل 56,0.00%
هلند,فصل 59,0.00%
هلند,فصل 70,0.00%
هلند,فصل 73,0.00%
هلند,فصل 74,0.00%
هلند,فصل 75,0.00%
هند,فصل 03,0.00%
هند,فصل 11,0.00%
هند,فصل 17,0.00%
هند,فصل 23,0.00%
هند,فصل 34,0.00%
هند,فصل 52,0.00%
هند,فصل 53,0.00%
هند,فصل 55,0.00%
هند,فصل 56,0.00%
هند,فصل 69,0.00%
هند,فصل 74,0.00%
هند,فصل 96,0.00%
هنگ کنگ,فصل 07,0.00%
هنگ کنگ,فصل 13,0.00%
هنگ کنگ,فصل 18,0.00%
هنگ کنگ,فصل 21,0.00%
هنگ کنگ,فصل 23,0.00%
هنگ کنگ,فصل 25,0.00%
هنگ کنگ,فصل 35,0.00%
هنگ کنگ,فصل 37,0.00%
هنگ کنگ,فصل 55,0.00%
هنگ کنگ,فصل 69,0.00%
هنگ کنگ,فصل 71,0.00%
هنگ کنگ,فصل 74,0.00%
هنگ کنگ,فصل 76,0.00%
هنگ کنگ,فصل 79,0.00%
هنگ کنگ,فصل 91,0.00%
ونزوئلا,فصل 07,0.00%
ویتنام,فصل 12,0.00%
ویتنام,فصل 15,0.00%
ویتنام,فصل 23,0.00%
ویتنام,فصل 35,0.00%
ویتنام,فصل 39,0.00%
ویتنام,فصل 40,0.00%
ویتنام,فصل 70,0.00%
ویتنام,فصل 82,0.00%
ویتنام,فصل 85,0.00%
ویتنام,فصل 90,0.00%
ویتنام,فصل 95,0.00%
یونان,فصل 07,0.00%
یونان,فصل 10,0.00%
یونان,فصل 20,0.00%
یونان,فصل 31,0.00%
یونان,فصل 32,0.00%
یونان,فصل 84,0.00%
یونان,فصل 98,0.00%
کنیا,فصل 02,0.00%
هنگ کنگ,فصل 72,0.00%
