Wrong country,فصل,%GT Total Export
ترکمنستان,فصل 64,0.00%
ترکمنستان,فصل 33,0.00%
جمهوری آذربایجان,فصل 55,0.00%
قزاقستان,فصل 22,0.00%
رومانی,فصل 39,0.00%
ترکیه,فصل 94,0.00%
ترکیه,فصل 22,0.00%
بحرین,فصل 04,0.00%
ازبکستان,فصل 22,0.00%
دانمارک,فصل 08,0.00%
رومانی,فصل 76,0.00%
رومانی,فصل 70,0.00%
جمهوری آذربایجان,فصل 79,0.00%
هلند,فصل 21,0.00%
قطر,فصل 03,0.00%
ارمنستان,فصل 83,0.00%
گرجستان,فصل 22,0.00%
امارات متحده عربی,فصل 15,0.00%
کنگو,فصل 27,0.00%
عمان,فصل 73,0.00%
ترکیه,فصل 54,0.00%
افغانستان,فصل 18,0.00%
ترکمنستان,فصل 06,0.00%
جمهوری آذربایجان,فصل 18,0.00%
ترکمنستان,فصل 23,0.00%
ترکمنستان,فصل 83,0.00%
پاکستان,فصل 38,0.00%
قزاقستان,فصل 69,0.00%
عراق,فصل 91,0.00%
پاکستان,فصل 63,0.00%
جمهوری آذربایجان,فصل 48,0.00%
قرقیزستان,فصل 38,0.00%
فدراسیون روسیه,فصل 57,0.00%
ترکمنستان,فصل 20,0.00%
صربستان و مونته نگرو,فصل 27,0.00%
پاکستان,فصل 22,0.00%
ونزوئلا,فصل 85,0.00%
ترکیه,فصل 52,0.00%
عمان,فصل 04,0.00%
عراق,فصل 12,0.00%
امارات متحده عربی,فصل 73,0.00%
بلاروس,فصل 55,0.00%
فدراسیون روسیه,فصل 32,0.00%
سوئد,فصل 08,0.00%
پاکستان,فصل 52,0.00%
تایوان,فصل 29,0.00%
اوکراین,فصل 07,0.00%
عمان,فصل 68,0.00%
پرتغال,فصل 70,0.00%
عراق,فصل 46,0.00%
ترکیه,فصل 30,0.00%
افغانستان,فصل 23,0.00%
بلژیک,فصل 09,0.00%
هنگ کنگ,فصل 05,0.00%
چین,فصل 51,0.00%
ترکمنستان,فصل 94,0.00%
تاجیکستان,فصل 68,0.00%
جمهوری آذربایجان,فصل 29,0.00%
ساحل عاج (ساحل عاج),فصل 19,0.00%
بلغارستان,فصل 70,0.00%
لیبی,فصل 15,0.00%
پاکستان,فصل 15,0.00%
تاجیکستان,فصل 20,0.00%
هلند,فصل 38,0.00%
فدراسیون روسیه,فصل 18,0.00%
هند,فصل 34,0.00%
تاجیکستان,فصل 70,0.00%
مالزی,فصل 08,0.00%
قرقیزستان,فصل 34,0.00%
یونان,فصل 39,0.00%
ترکیه,فصل 44,0.00%
تاجیکستان,فصل 23,0.00%
پاکستان,فصل 18,0.00%
افغانستان,فصل 58,0.00%
ازبکستان,فصل 07,0.00%
تایلند,فصل 08,0.00%
آفریقای جنوبی,فصل 27,0.00%
هلند,فصل 20,0.00%
آلمان,فصل 09,0.00%
جمهوری آذربایجان,فصل 44,0.00%
ترکمنستان,فصل 87,0.00%
ترکیه,فصل 78,0.00%
ترکیه,فصل 85,0.00%
بحرین,فصل 21,0.00%
اتریش,فصل 08,0.00%
لبنان,فصل 74,0.00%
کویت,فصل 28,0.00%
کره (جنوبی),فصل 29,0.00%
سنگاپور,فصل 08,0.00%
مکزیک,فصل 08,0.00%
افغانستان,فصل 22,0.00%
ترکیه,فصل 87,0.00%
تاجیکستان,فصل 63,0.00%
عمان,فصل 76,0.00%
جمهوری آذربایجان,فصل 87,0.00%
فدراسیون روسیه,فصل 63,0.00%
عراق,فصل 79,0.00%
عراق,فصل 92,0.00%
عمان,فصل 22,0.00%
قزاقستان,فصل 17,0.00%
بلژیک,فصل 57,0.00%
ارمنستان,فصل 94,0.00%
جمهوری آذربایجان,فصل 33,0.00%
اردن,فصل 22,0.00%
تاجیکستان,فصل 25,0.00%
مالزی,فصل 29,0.00%
آفریقای جنوبی,فصل 57,0.00%
عمان,فصل 44,0.00%
ازبکستان,فصل 76,0.00%
انگلستان (بریتانیا),فصل 57,0.00%
فرانسه,فصل 57,0.00%
اسپانیا,فصل 76,0.00%
اردن,فصل 70,0.00%
کنیا,فصل 39,0.00%
ازبکستان,فصل 32,0.00%
فرانسه,فصل 09,0.00%
جمهوری آذربایجان,فصل 96,0.00%
ایتالیا,فصل 40,0.00%
سودان,فصل 19,0.00%
کویت,فصل 39,0.00%
آلمان,فصل 39,0.00%
یمن,فصل 04,0.00%
صربستان و مونته نگرو,فصل 13,0.00%
ایتالیا,فصل 41,0.00%
ترکیه,فصل 56,0.00%
بلغارستان,فصل 73,0.00%
ویتنام,فصل 29,0.00%
ترکمنستان,فصل 40,0.00%
قزاقستان,فصل 84,0.00%
میانمار,فصل 28,0.00%
بنگلادش,فصل 28,0.00%
اسلواکی,فصل 08,0.00%
امارات متحده عربی,فصل 10,0.00%
کانادا,فصل 84,0.00%
یونان,فصل 70,0.00%
قرقیزستان,فصل 22,0.00%
کرواسی (Hrvatska),فصل 73,0.00%
قطر,فصل 14,0.00%
هند,فصل 41,0.00%
ژاپن,فصل 08,0.00%
آلبانی,فصل 08,0.00%
قطر,فصل 16,0.00%
گرجستان,فصل 64,0.00%
ترکمنستان,فصل 29,0.00%
پاکستان,فصل 16,0.00%
ترکمنستان,فصل 56,0.00%
افغانستان,فصل 90,0.00%
ترکمنستان,فصل 09,0.00%
فدراسیون روسیه,فصل 17,0.00%
ترکمنستان,فصل 63,0.00%
ترکمنستان,فصل 35,0.00%
ارمنستان,فصل 95,0.00%
عمان,فصل 16,0.00%
شیلی,فصل 29,0.00%
ارمنستان,فصل 38,0.00%
سوریه,فصل 16,0.00%
ترکمنستان,فصل 21,0.00%
کنیا,فصل 90,0.00%
مجارستان,فصل 08,0.00%
قرقیزستان,فصل 68,0.00%
ارمنستان,فصل 55,0.00%
سویس,فصل 57,0.00%
ترکیه,فصل 58,0.00%
تاجیکستان,فصل 76,0.00%
امارات متحده عربی,فصل 34,0.00%
جمهوری آذربایجان,فصل 58,0.00%
